电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
奇幻变身大冒险,(2026),2026-05-01 (US),动画,1h 42m,90,英语,内森·格雷诺,约翰·惠廷顿,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。,Transform your destiny.
肖申克的救赎,(1994),1994-09-23 (US),剧情,2h 22m,87,英语,弗兰克·德拉邦特,斯蒂芬·金,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。,恐惧会将你囚禁，希望则能让你获得自由。
教父,(1972),1972-03-24 (US),剧情,2h 55m,87,英语,弗朗西斯·科波拉,马里奥·普佐,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,一份你无法拒绝的邀约。
挽救计划,(2026),2026-03-20 (CN),科幻,2h 37m,86,英语,菲尔·洛德,克里斯托弗·米勒,中学科学老师瑞恩·格雷斯在一艘距离家园数光年外的飞船上醒来，完全不记得自己是谁，也不记得如何来到这里。随着记忆逐渐恢复，他开始揭开自己的使命：解开导致太阳逐渐熄灭的神秘物质的谜团。他必须借助自己的科学知识与非常规思路，拯救地球万物免于灭绝……但一段意想不到的友谊意味着他也许不必独自承担这一切。[亚马逊米高梅影业],相信奇迹会发生。
教父2,(1974),1974-12-20 (US),剧情,3h 20m,86,英语,弗朗西斯·科波拉,马里奥·普佐,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。,柯里昂帝国的兴衰史。
辛德勒的名单,(1993),2019-04-06 (CN),剧情,3h 15m,86,英语,史蒂文·斯皮尔伯格,托马斯·肯尼利,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。,谁拯救了一条生命，谁就拯救了整个世界。
十二怒汉,(1957),1957-04-10 (US),剧情,1h 36m,86,英语,雷金纳德·罗斯,西德尼·吕美特,西德尼·吕美特执导的本片堪称电影史上最颠覆的法庭剧。这部改编自雷金纳德·罗斯电视剧的经典之作，以密室内群像戏的精炼笔法，透视美国司法体系的肌理，张力十足。亨利·方达饰演的异议者，在由白人男性组成的陪审团中孤身抗辩——其余成员皆急于裁定被控弑父的波多黎各少年有罪。故事在一个闷热的午后、一间汗流浃背的房间里层层推进，最终凝聚成一部史诗规模的思辨传奇。吕美特这部震撼人心的导演处女作，精准捕捉了1950年代美国社会变革的前夜，成就了影史不朽的首作丰碑。,命悬其手，死视其意
千与千寻,(2001),2019-06-21 (CN),动画,2h 5m,85,日语,宫崎骏,,小女孩千寻被困在一个陌生的精灵世界。当她的父母发生神秘变化后，她必须鼓起自己从未发现的勇气，才能解救自己，并将家人带回外面的世界。,隧道的另一头，是不可思议的小镇。
蝙蝠侠：黑暗骑士,(2008),2018-04-07 (CN),动作,2h 32m,85,英语,克里斯托弗·诺兰,鲍勃·凯恩,蝙蝠侠在打击犯罪的战争中加大了赌注。在吉姆·戈登警长与地方检察官哈维·丹特的协助下，蝙蝠侠决心清除肆虐哥谭街头的残余犯罪组织。这一联手行动卓有成效，但他们很快发现自己沦为了一场混沌统治的猎物——这场混乱由一位新兴犯罪大师所掀动，惶恐的哥谭市民称他为“小丑”。[华纳兄弟影业],黎明前的夜是最黑暗的！
幸运有八只触手,(2026),2026-05-08 (US),剧情,1h 54m,85,英语,奥利维亚·纽曼,约翰·惠廷顿,在这部感人的剧情片中，一名寡妇在小镇的水族馆上夜班时，与一只聪明的章鱼以及一个迷茫的年轻小伙子建立了深厚羁绊。改编自畅销书。,Brighter together.
